Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
15.01785922050476	42	9.32	5.2016920324063785	28.0	4.0	9.32	5.2016920324063785	0.7755586	12.478885	0.0005	0.622
15.418882131576538	43	10.42	5.628818703777908	30.0	4.0	10.42	5.628818703777908	0.7781962	11.973524	0.0005	0.613
15.832905769348145	44	10.62	6.7642885804791035	34.0	4.0	10.62	6.7642885804791035	0.7786785	13.786064	0.0005	0.604
16.222928047180176	45	10.1	4.8342527861087286	23.0	4.0	10.1	4.8342527861087286	0.77520365	12.584534	0.0005	0.595
16.617950439453125	46	10.3	5.970762095411272	36.0	3.0	10.3	5.970762095411272	0.7755138	13.0942745	0.0005	0.586
17.04497528076172	47	11.06	6.080822312812635	40.0	4.0	11.06	6.080822312812635	0.77648586	11.724318	0.0005	0.577
17.477999687194824	48	11.32	6.354337101539389	31.0	4.0	11.32	6.354337101539389	0.77669233	12.153796	0.0005	0.5680000000000001
17.87802267074585	49	10.28	4.854029254135167	22.0	3.0	10.28	4.854029254135167	0.7732409	13.411352	0.0005	0.5589999999999999
18.291046142578125	50	10.7	5.5072679252057455	34.0	4.0	10.7	5.5072679252057455	0.7735518	12.315112	0.0005	0.55
18.70607018470764	51	10.62	6.225399585568784	39.0	4.0	10.62	6.225399585568784	0.7720864	11.126943	0.0005	0.5409999999999999
19.111093282699585	52	10.44	4.960483847368117	23.0	4.0	10.44	4.960483847368117	0.77088726	11.387133	0.0005	0.532
19.473114013671875	53	9.28	6.145046785826777	44.0	4.0	9.28	6.145046785826777	0.76618385	12.79828	0.0005	0.5229999999999999
19.894137859344482	54	10.8	4.82078831727758	23.0	3.0	10.8	4.82078831727758	0.7719662	13.790868	0.0005	0.514
20.290160655975342	55	10.24	7.229273822452709	38.0	4.0	10.24	7.229273822452709	0.76949435	13.818792	0.0005	0.5049999999999999
20.68418312072754	56	10.0	6.499230723708768	36.0	3.0	10.0	6.499230723708768	0.7685778	14.989173	0.0005	0.4959999999999999
